S.No.,Rule,Support,Lift,Confidence
820,ANTACID/LAXATIVE/DIETARY AID  , ANTACID/LAXATIVE/DIETARY AID,0.045,22,1
821,BARS  , SPICES,0.011,14.666,0.33
822,LIQUOR  , BAKERY,0.011,11,1
823,MEATS  , JUICES,0.011,8.8,0.2
824,BEER  , CHEESE,0.011,6.285,0.5
825,BASICS  , ETHNIC,0.011,88,1
826,MEAT  , PREPARED,0.011,7.333,0.33
827,DAIRY PRODUCTS  , ALL HANGING APPAREL,0.022,1.353,0.08
828,DRINK MIXES  , PET SUPPLIES,0.011,3.142,0.25
829,BARS  , BEVERAGES,0.034,5.176,1
830,ETHNIC  , FRUITS & VEGETABLES,0.011,17.6,1
831,SALTY SNACKS  , BEER,0.011,7.333,0.17
832,CHEESE  , SALES,0.011,1.396,0.14
833,TOPICAL APPLICATIONS  , FINE WINE,0.011,29.333,1
834,ANTACID/LAXATIVE/DIETARY AID  , BBS,0.034,4.125,0.75
835,PAPER PRODUCTS  , WATER FILTRATION,0.011,11,0.13
836,DISH DETERGENTS & SUPPLIES  , SALES,0.011,2.444,0.25
837,DAIRY PRODUCTS  , CHEMICALS,0.011,0.846,0.04
838,HAIR CARE  , SALES,0.022,4.888,0.5
839,DESSERTS  , CHEESE,0.011,12.571,1
840,BEVERAGES  , DIABETIC & VETERINARY,0.011,4.4,0.1
841,PRODUCE  , FRUITS & VEGETABLES,0.034,1.885,0.11
842,PREPARED  , RICE/BEANS/PASTA,0.022,8.8,0.5
843,ANTACID/LAXATIVE/DIETARY AID  , CONDIMENTS,0.022,8.8,0.5
844,BODY MOISTURIZERS  , FIRST AID,0.011,88,1
845,ETHNIC  , SPREADS/SYRUP/HONEY,0.011,22,1
846,SALES  , DRINK MIXES,0.011,2.444,0.11
847,DIAPERS  , BEVERAGES,0.011,4.4,0.5
848,SALTY SNACKS  , BAKERY,0.022,3.666,0.33
849,WRAPS  , DAIRY PRODUCTS,0.011,1.692,0.5
850,PAPER PRODUCTS  , CANNED FISH AND MEAT,0.011,3.666,0.13
851,FOAM/PLASTIC/CATERING  , BATTERIES,0.011,22,0.25
852,DESSERTS  , RICE/BEANS/PASTA,0.011,17.6,1
853,MINTS/GUM  , HAIR CARE,0.011,22,1
854,PERSONAL WASH  , CHEESE,0.022,12.571,1
855,PRODUCE  , LAUNDRY DETERGENTS & SUPPLIES,0.034,1.178,0.11
856,JUICES  , SALES,0.011,4.888,0.5
857,WRAPS  , VITAMIN/SUPPLEMENTS,0.011,11,0.5
858,PET SUPPLIES  , BAKERY,0.022,3.142,0.29
859,FRUITS & VEGETABLES  , OIL,0.011,5.866,0.2
860,CHEESE  , CHEMICALS,0.022,6.285,0.29
861,SALTY SNACKS  , SAUCES,0.011,7.333,0.17
862,TOPICAL APPLICATIONS  , CEREAL,0.011,8.8,1
863,ANTACID/LAXATIVE/DIETARY AID  , PREPARED FOODS,0.011,11,0.25
864,FRUIT & VEGETABLES  , BULK GOOD CANDY,0.022,6.518,0.22
865,PET SUPPLIES  , PRODUCE,0.068,2.693,0.86
866,MEATS  , HAIR CARE,0.011,4.4,0.2
867,CHEESE  , OIL,0.022,8.38,0.29
868,MEATS  , PET SUPPLIES,0.011,3.142,0.25
869,DISH DETERGENTS & SUPPLIES  , ALL HANGING APPAREL,0.011,4.4,0.25
870,SALTY SNACKS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,1.833,0.17
871,ORAL CARE  , MEATS,0.011,5.5,0.25
872,DAIRY PRODUCTS  , BASICS,0.011,3.384,0.04
873,CHEMICALS  , BAGS,0.011,11,0.25
874,PASTA & SAUCES  , FRUIT & VEGETABLES,0.011,4.888,0.5
875,DAIRY PRODUCTS  , FOAM/PLASTIC/CATERING,0.011,0.846,0.04
876,CANNED FISH AND MEAT  , CEREAL,0.011,2.933,0.33
877,SALTY SNACKS  , WRAPS,0.011,7.333,0.17
878,PREPARED FOODS  , PAPER PRODUCTS,0.011,5.5,0.5
879,PREPARED  , CANNED FISH AND MEAT,0.011,7.333,0.25
880,PERSONAL WASH  , LIQUOR,0.011,44,0.5
881,BBS  , CONDIMENTS,0.045,4.4,0.25
882,PRODUCE  , CHEESE,0.068,2.693,0.21
883,BAKING NUTS  , SPREADS/SYRUP/HONEY,0.011,3.666,0.17
884,PASTA & SAUCES  , HAIR CARE,0.011,11,0.5
885,SOUPS  , PET SUPPLIES,0.011,12.571,1
886,SALTY SNACKS  , WATER FILTRATION,0.011,14.666,0.17
887,BATTERIES  , BEVERAGES,0.011,5.176,1
888,FRUIT & VEGETABLES  , PAPER PRODUCTS,0.045,4.888,0.44
889,BAGS  , FIRST AID,0.011,44,0.5
890,PREPARED  , CEREAL,0.022,4.4,0.5
891,DESSERTS  , PERSONAL WASH,0.011,44,1
892,VEND ITEMS  , VEND ITEMS,0.022,44,1
893,PREPARED FOODS  , PREPARED,0.011,11,0.5
894,FRUIT & VEGETABLES  , ANTACID/LAXATIVE/DIETARY AID,0.022,4.888,0.22
895,BAKERY  , PRODUCE,0.056,1.964,0.63
896,LIQUOR  , ANTI-PERS/DEODORANT,0.011,88,1
897,MEAT  , SALTY SNACKS,0.011,4.888,0.33
898,MEAT  , LAUNDRY DETERGENTS & SUPPLIES,0.011,3.666,0.33
899,PREPARED FOODS  , PREPARED FOODS,0.045,22,1
900,BBS  , SOUPS,0.011,5.5,0.06
901,ALL HANGING APPAREL  , MINTS/GUM,0.011,17.6,0.2
902,ORAL CARE  , DIET / NUTRITION,0.011,22,0.25
903,FRUIT SNACKS  , BAKERY,0.011,3.666,0.33
904,ANTACID/LAXATIVE/DIETARY AID  , PREPARED,0.011,5.5,0.25
905,CEREAL  , BEVERAGES,0.034,1.552,0.3
906,SPECIAL EVENTS  , SPECIAL EVENTS,0.011,88,1
907,PAPER PRODUCTS  , ANTI-PERS/DEODORANT,0.011,11,0.13
908,OUTDOOR WIRELESS & PLUG-IN  , PAPER PRODUCTS,0.011,11,1
909,RICE/BEANS/PASTA  , BEVERAGES,0.034,5.279,0.6
910,RICE/BEANS/PASTA  , PAPER PRODUCTS,0.034,6.6,0.6
911,DAIRY PRODUCTS  , DISH DETERGENTS & SUPPLIES,0.022,1.692,0.08
912,PREPARED  , FRUITS & VEGETABLES,0.011,4.4,0.25
913,TICKETING  , TICKETING,0.011,88,1
914,CONDIMENTS  , PREPARED,0.011,4.4,0.2
915,BEER  , JUICES,0.011,22,0.5
916,SALTY SNACKS  , FRUITS & VEGETABLES,0.011,2.933,0.17
917,CHEESE  , PET SUPPLIES,0.022,3.591,0.29
918,CEREAL  , BAKERY,0.022,2.2,0.2
919,FRUIT & VEGETABLES  , ETHNIC,0.011,4.888,0.11
920,PAPER PRODUCTS  , FRUIT & VEGETABLES,0.045,4.888,0.5
921,PET SUPPLIES  , VITAMIN/SUPPLEMENTS,0.022,6.285,0.29
922,OIL  , CHEESE,0.022,8.38,0.67
923,PRODUCE  , ETHNIC,0.011,1.571,0.04
924,FRUIT & VEGETABLES  , PASTA & SAUCES,0.011,4.888,0.11
925,BAKING NUTS  , DAIRY PRODUCTS,0.034,1.692,0.5
926,CEREAL  , MEAT,0.022,5.866,0.2
927,WATER FILTRATION  , DISH DETERGENTS & SUPPLIES,0.011,22,1
928,MINTS/GUM  , CEREAL,0.011,8.8,1
929,FRUIT & VEGETABLES  , WOMENS BASICS,0.011,9.777,0.11
930,DRINK MIXES  , MEAT - PROTEIN,0.011,5.5,0.25
931,PREPARED  , SAUCES,0.011,11,0.25
932,JUICES  , DRINK MIXES,0.011,11,0.5
933,PRODUCE  , OIL,0.022,2.095,0.07
934,BAKERY  , OIL,0.011,3.666,0.13
935,DAIRY PRODUCTS  , LAUNDRY DETERGENTS & SUPPLIES,0.056,2.115,0.19
936,CANNED FISH AND MEAT  , PREPARED FOODS,0.011,7.333,0.33
937,WOMENS BASICS  , WOMENS BASICS,0.011,88,1
938,CHEESE  , PASTA & SAUCES,0.022,12.571,0.29
939,FRUIT & VEGETABLES  , MEAT - PROTEIN,0.011,2.444,0.11
940,MEATS  , CEREAL,0.022,3.52,0.4
941,MEATS  , HANGING APPAREL,0.011,11,0.25
942,CONDIMENTS  , CHEESE,0.034,7.542,0.6
943,DISH DETERGENTS & SUPPLIES  , WIPES,0.011,7.333,0.25
944,VEND ITEMS  , OIL,0.011,14.666,0.5
945,BEVERAGES  , MEATS,0.034,5.279,0.3
946,DIET / NUTRITION  , BAKING NUTS,0.011,14.666,1
947,PREPARED FOODS  , BAKERY,0.011,5.5,0.5
948,HAIR CARE  , TICKETING,0.011,22,0.25
949,FOAM/PLASTIC/CATERING  , BARS,0.011,7.333,0.25
950,BEVERAGES  , BEVERAGES,0.056,2.588,0.29
951,OIL  , SAUCES,0.011,14.666,0.33
952,MEMBERSHIP AND RENEWALS  , BAKERY,0.011,11,1
953,BEVERAGES  , DRINK MIXES,0.022,4.4,0.2
954,CANNED FISH AND MEAT  , ANTACID/LAXATIVE/DIETARY AID,0.011,7.333,0.33
955,CHEMICALS  , LAUNDRY DETERGENTS & SUPPLIES,0.011,2.75,0.25
956,RICE/BEANS/PASTA  , SALTY SNACKS,0.034,8.8,0.6
957,CHEESE  , SALTY SNACKS,0.034,6.285,0.43
958,CANNED FISH AND MEAT  , BBS,0.022,3.666,0.67
959,SPICES  , PRODUCE,0.011,1.571,0.5
960,BODY MOISTURIZERS  , WATER FILTRATION,0.011,88,1
961,BAKERY  , BEVERAGES,0.022,2.2,0.25
962,BEVERAGES  , SPICES,0.011,4.4,0.1
963,PRODUCE  , WRAPS,0.022,3.142,0.07
964,BAKERY  , DAIRY PRODUCTS,0.045,1.692,0.5
965,RICE/BEANS/PASTA  , MEAT - PROTEIN,0.011,4.4,0.2
966,ANTACID/LAXATIVE/DIETARY AID  , CANNED FISH AND MEAT,0.011,7.333,0.25
967,CHEMICALS  , DAIRY PRODUCTS,0.011,0.846,0.25
968,HAIR CARE  , BEVERAGES,0.022,2.588,0.5
969,RICE/BEANS/PASTA  , MEAT,0.011,5.866,0.2
970,BAKERY  , JUICES,0.022,11,0.25
971,FRUITS & VEGETABLES  , VEND ITEMS,0.022,17.6,0.4
972,COFFEE/SWEETENERS  , SALES,0.011,9.777,1
973,ALL SEASONAL SUNDRIES ITEMS  , DAIRY PRODUCTS,0.011,3.384,1
974,FRUIT & VEGETABLES  , PREPARED FOODS,0.022,9.777,0.22
975,FOAM/PLASTIC/CATERING  , VITAMIN/SUPPLEMENTS,0.011,5.5,0.25
976,SAUCES  , SALTY SNACKS,0.011,7.333,0.5
977,SALTY SNACKS  , DISH DETERGENTS & SUPPLIES,0.022,7.333,0.33
978,SALES  , JUICES,0.011,4.888,0.11
979,BULK GOOD CANDY  , PRODUCE,0.034,3.142,1
980,DESSERTS  , JUICES,0.011,44,1
981,FRUIT & VEGETABLES  , DAIRY PRODUCTS,0.056,1.88,0.56
982,TOPICAL APPLICATIONS  , FLOOR WINES,0.011,29.333,1
983,ALL HANGING APPAREL  , ORAL CARE,0.011,4.4,0.2
984,MINTS/GUM  , CHEESE,0.011,12.571,1
985,BAGS  , PAPER PRODUCTS,0.011,5.5,0.5
986,DISH DETERGENTS & SUPPLIES  , PRODUCE,0.034,2.357,0.75
987,FRUIT SNACKS  , PAPER PRODUCTS,0.011,3.666,0.33
988,PREPARED FOODS  , SAUCES,0.011,11,0.25
989,RICE/BEANS/PASTA  , BAKERY,0.034,6.6,0.6
990,MEATS  , CEREAL,0.022,4.4,0.5
991,PAPER PRODUCTS  , HANGING APPAREL,0.022,11,0.25
992,PREPARED FOODS  , WRAPS,0.011,11,0.25
993,ANTACID/LAXATIVE/DIETARY AID  , PAPER PRODUCTS,0.022,5.5,0.5
994,SALTY SNACKS  , CONDIMENTS,0.045,11.733,0.67
995,PREPARED FOODS  , DAIRY PRODUCTS,0.045,3.384,1
996,DIAPERS  , DIAPERS,0.022,44,1
997,PASTA & SAUCES  , CEREAL,0.022,8.8,1
998,PREPARED FOODS  , BAKING NUTS,0.011,7.333,0.5
999,SAUCES  , BAKERY,0.011,5.5,0.5
1000,FLOOR WINES  , FRUIT & VEGETABLES,0.011,3.259,0.33
1001,BEER  , FRUIT & VEGETABLES,0.011,4.888,0.5
1002,WRAPS  , BEVERAGES,0.011,4.4,0.5
1003,ANTI-PERS/DEODORANT  , LIQUOR,0.011,88,1
1004,SOUPS  , PASTA & SAUCES,0.011,44,1
1005,BULK GOOD CANDY  , FRUIT SNACKS,0.011,9.777,0.33
1006,CANNED FISH AND MEAT  , PAPER PRODUCTS,0.011,3.666,0.33
1007,ALL HANGING APPAREL  , MEAT - PROTEIN,0.011,4.4,0.2
1008,LAUNDRY DETERGENTS & SUPPLIES  , FRUIT & VEGETABLES,0.022,2.444,0.25
1009,PET SUPPLIES  , FINE WINE,0.034,12.571,0.43
1010,COFFEE/SWEETENERS  , MINTS/GUM,0.011,88,1
1011,LAUNDRY DETERGENTS & SUPPLIES  , FRUITS & VEGETABLES,0.034,6.6,0.38
1012,FRUIT & VEGETABLES  , VEND ITEMS,0.011,4.888,0.11
1013,CEREAL  , DAIRY PRODUCTS,0.102,3.046,0.9
1014,BBS  , MEATS,0.056,5.5,0.31
1015,BEVERAGES  , BAKERY,0.022,2.2,0.2
1016,PASTA & SAUCES  , DAIRY PRODUCTS,0.022,3.384,1
1017,ORAL CARE  , FRUIT & VEGETABLES,0.022,4.888,0.5
1018,OIL  , SPREADS/SYRUP/HONEY,0.011,7.333,0.33
1019,PREPARED FOODS  , MEAT - PROTEIN,0.011,5.5,0.25
1020,SPREADS/SYRUP/HONEY  , ANTACID/LAXATIVE/DIETARY AID,0.011,5.5,0.25
1021,PREPARED FOODS  , CHEESE,0.011,6.285,0.5
1022,PET SUPPLIES  , FRUIT & VEGETABLES,0.034,4.19,0.43
1023,MEAT  , BBS,0.011,1.833,0.33
1024,PREPARED FOODS  , CHEMICALS,0.011,5.5,0.25
1025,FRUIT & VEGETABLES  , PREPARED,0.034,7.333,0.33
1026,BEVERAGES  , PRODUCE,0.09,2.514,0.8
1027,BEER  , DESSERTS,0.011,44,0.5
1028,BBS  , PREPARED FOODS,0.011,2.75,0.06
1029,BEER  , BARS,0.011,14.666,0.5
1030,DESSERTS  , CHEMICALS,0.011,22,1
1031,SPREADS/SYRUP/HONEY  , MINTS/GUM,0.011,22,0.25
1032,ANTACID/LAXATIVE/DIETARY AID  , PASTA & SAUCES,0.022,22,0.5
1033,TICKETING  , FRUITS & VEGETABLES,0.011,17.6,1
1034,VITAMIN/SUPPLEMENTS  , BAKERY,0.011,2.75,0.25
1035,UNIVERSAL RX ITEM  , DIABETIC & VETERINARY,0.011,6.285,0.14
1036,PET SUPPLIES  , SPICES,0.011,6.285,0.14
1037,DAIRY PRODUCTS  , BAKING NUTS,0.034,1.692,0.12
1038,DISH DETERGENTS & SUPPLIES  , BBS,0.022,2.75,0.5
1039,RICE/BEANS/PASTA  , HAIR CARE,0.011,4.4,0.2
1040,SALTY SNACKS  , VEND ITEMS,0.011,7.333,0.17
1041,PET SUPPLIES  , SOUPS,0.011,12.571,0.14
1042,DRINK MIXES  , BEVERAGES,0.022,4.4,0.5
1043,DRINK MIXES  , WIPES,0.011,7.333,0.25
1044,DAIRY PRODUCTS  , CANNED FISH AND MEAT,0.022,2.256,0.08
1045,DAIRY PRODUCTS  , PREPARED,0.034,2.538,0.12
1046,SALTY SNACKS  , FRUIT SNACKS,0.022,9.777,0.33
1047,PRODUCE  , CHEMICALS,0.022,1.571,0.07
1048,DRINK MIXES  , HAIR CARE,0.011,5.5,0.25
1049,FOAM/PLASTIC/CATERING  , BEVERAGES,0.022,2.588,0.5
1050,BEVERAGES  , MEAT - PROTEIN,0.034,6.6,0.3
1051,BBS  , BAKERY,0.056,3.437,0.31
1052,BAKING NUTS  , PREPARED FOODS,0.011,3.666,0.17
1053,FLOOR WINES  , ALL SEASONAL SUNDRIES ITEMS,0.011,29.333,0.33
1054,SALTY SNACKS  , BULK GOOD CANDY,0.011,4.888,0.17
1055,BULK GOOD CANDY  , LAUNDRY DETERGENTS & SUPPLIES,0.011,3.666,0.33
1056,PREPARED  , PREPARED FOODS,0.011,5.5,0.25
1057,FRUIT & VEGETABLES  , SALES,0.022,2.172,0.22
1058,OIL  , PASTA & SAUCES,0.011,14.666,0.33
1059,ALL SEASONAL SUNDRIES ITEMS  , TOPICAL APPLICATIONS,0.011,88,1
1060,MEAT - PROTEIN  , ANTACID/LAXATIVE/DIETARY AID,0.011,5.5,0.25
1061,BEVERAGES  , OIL,0.022,5.866,0.2
1062,PET SUPPLIES  , CONDIMENTS,0.011,2.514,0.14
1063,CEREAL  , DRINK MIXES,0.011,2.2,0.1
1064,BEVERAGES  , BEVERAGES,0.056,2.588,0.5
1065,WRAPS  , FIRST AID,0.011,44,0.5
1066,ANTI-PERS/DEODORANT  , CHEMICALS,0.011,22,1
1067,BARS  , FRUIT SNACKS,0.034,29.333,1
1068,FRUIT SNACKS  , ANTI-PERS/DEODORANT,0.011,29.333,0.33
1069,SPICES  , PET SUPPLIES,0.011,6.285,0.5
1070,DAIRY PRODUCTS  , SALTY SNACKS,0.034,1.692,0.12
1071,CHEESE  , CONDIMENTS,0.034,7.542,0.43
1072,FOOD COURT  , BAKERY,0.011,3.666,0.33
1073,SALES  , PREPARED,0.011,2.444,0.11
1074,FOAM/PLASTIC/CATERING  , FOAM/PLASTIC/CATERING,0.045,22,1
1075,BASICS  , BULK GOOD CANDY,0.011,29.333,1
1076,PRODUCE  , DIET / NUTRITION,0.011,3.142,0.04
1077,PERSONAL WASH  , MINTS/GUM,0.011,44,0.5
1078,CHEMICALS  , CEREAL,0.011,2.2,0.25
1079,MEAT  , FLOOR WINES,0.011,9.777,0.33
1080,HAIR CARE  , FRUIT & VEGETABLES,0.011,2.444,0.25
1081,TOPICAL APPLICATIONS  , ETHNIC,0.011,44,1
1082,BODY MOISTURIZERS  , WRAPS,0.011,44,1
1083,BEVERAGES  , SALTY SNACKS,0.045,5.866,0.4
1084,PRODUCE  , BULK GOOD CANDY,0.034,3.142,0.11
1085,PREPARED FOODS  , SALTY SNACKS,0.011,7.333,0.5
1086,KITCHEN MISC.  , FLOOR WINES,0.011,14.666,0.5
1087,UNIVERSAL RX ITEM  , UNIVERSAL RX ITEM,0.079,12.571,1
1088,FOOD COURT  , BBS,0.011,1.833,0.33
1089,DISH DETERGENTS & SUPPLIES  , BAGS,0.011,11,0.25
1090,ALL HANGING APPAREL  , RICE/BEANS/PASTA,0.011,3.52,0.2
1091,CHEESE  , DAIRY PRODUCTS,0.045,1.934,0.57
1092,ANTI-PERS/DEODORANT  , BBS,0.011,5.5,1
1093,DIAPERS  , PRODUCE,0.022,3.142,1
1094,BBS  , SALES,0.034,1.833,0.19
1095,HANGING APPAREL  , BEVERAGES,0.011,4.4,0.5
1096,FRUITS & VEGETABLES  , DAIRY PRODUCTS,0.045,2.707,0.8
1097,KITCHEN MISC.  , BEER,0.011,22,0.5
1098,BAKERY  , FRUITS & VEGETABLES,0.022,4.4,0.25
1099,RICE/BEANS/PASTA  , LIQUOR,0.011,17.6,0.2
1100,SPREADS/SYRUP/HONEY  , COFFEE/SWEETENERS,0.011,22,0.25
1101,BODY MOISTURIZERS  , PRODUCE,0.011,3.142,1
1102,BEVERAGES  , FRUIT & VEGETABLES,0.056,2.875,0.29
1103,BATTERIES  , BEVERAGES,0.011,8.8,1
1104,LAUNDRY DETERGENTS & SUPPLIES  , DIAPERS,0.022,11,0.25
1105,HAIR CARE  , SAUCES,0.011,11,0.25
1106,BBS  , BBS,0.181,5.5,1
1107,PRODUCE  , TOPICAL APPLICATIONS,0.011,3.142,0.04
1108,MEAT - PROTEIN  , CANNED FISH AND MEAT,0.011,7.333,0.25
1109,MEAT - PROTEIN  , CEREAL,0.011,2.2,0.25
1110,FRUIT & VEGETABLES  , BARS,0.022,6.518,0.22
1111,FRUIT SNACKS  , FRUIT SNACKS,0.034,29.333,1
1112,MEATS  , DAIRY PRODUCTS,0.045,2.707,0.8
1113,DISH DETERGENTS & SUPPLIES  , CHEMICALS,0.011,5.5,0.25
1114,BULK GOOD CANDY  , DAIRY PRODUCTS,0.022,2.256,0.67
1115,DRINK MIXES  , SAUCES,0.011,11,0.25
1116,BULK GOOD CANDY  , BULK GOOD CANDY,0.034,29.333,1
1117,BULK GOOD CANDY  , SALTY SNACKS,0.011,4.888,0.33
1118,FOAM/PLASTIC/CATERING  , FIRST AID,0.011,22,0.25
1119,BEVERAGES  , FRUITS & VEGETABLES,0.011,1.035,0.06
1120,SALES  , FRUIT & VEGETABLES,0.022,2.172,0.22
1121,SPREADS/SYRUP/HONEY  , PREPARED FOODS,0.011,11,0.25
1122,COOKIES/CRACKERS/PASTRIES  , COOKIES/CRACKERS/PASTRIES,0.011,88,1
1123,DESSERTS  , PRODUCE,0.011,3.142,1
1124,ALL HANGING APPAREL  , HAIR CARE,0.011,4.4,0.2
1125,ANTACID/LAXATIVE/DIETARY AID  , HAIR CARE,0.011,5.5,0.25
1126,PAPER PRODUCTS  , VITAMIN/SUPPLEMENTS,0.034,8.25,0.38
1127,ETHNIC  , ETHNIC,0.011,88,1
1128,FOAM/PLASTIC/CATERING  , DIAPERS,0.011,11,0.25
1129,PET SUPPLIES  , BATTERIES,0.011,12.571,0.14
1130,FRUITS & VEGETABLES  , BAKING NUTS,0.022,5.866,0.4
1131,PET SUPPLIES  , ORAL CARE,0.022,6.285,0.29
1132,BEVERAGES  , HANGING APPAREL,0.011,4.4,0.1
1133,ORAL CARE  , PET SUPPLIES,0.022,6.285,0.5
1134,DISH DETERGENTS & SUPPLIES  , ANTI-PERS/DEODORANT,0.011,22,0.25
1135,ORAL CARE  , HANGING APPAREL,0.022,22,0.5
1136,PREPARED  , BARS,0.011,7.333,0.25
1137,LIQUOR  , PREPARED,0.011,22,1
1138,KITCHEN MISC.  , KITCHEN MISC.,0.022,44,1
1139,TOYS  , TOYS,0.022,44,1
1140,PAPER PRODUCTS  , BEVERAGES,0.045,4.4,0.5
1141,ANTACID/LAXATIVE/DIETARY AID  , PET SUPPLIES,0.011,3.142,0.25
1142,PAPER PRODUCTS  , SOUPS,0.011,11,0.13
1143,MEAT - PROTEIN  , SAUCES,0.011,11,0.25
1144,PET SUPPLIES  , PET SUPPLIES,0.079,12.571,1
1145,BODY MOISTURIZERS  , WIPES,0.011,29.333,1
1146,OIL  , PREPARED,0.011,7.333,0.33
1147,FRUIT & VEGETABLES  , CEREAL,0.034,2.933,0.33
1148,RICE/BEANS/PASTA  , ANTACID/LAXATIVE/DIETARY AID,0.022,8.8,0.4
1149,BAGS  , WRAPS,0.011,22,0.5
1150,PAPER PRODUCTS  , CHEMICALS,0.022,5.5,0.25
1151,ETHNIC  , BEVERAGES,0.011,5.176,1
1152,MEMBERSHIP AND RENEWALS  , BEVERAGES,0.011,5.176,1
1153,MEATS  , LIQUOR,0.011,17.6,0.2
1154,SPAS/POOLS/CHEMICALS  , FINE WINE,0.011,29.333,1
1155,MEATS  , BBS,0.056,5.5,1
1156,BAKING NUTS  , ORAL CARE,0.022,7.333,0.33
1157,DRINK MIXES  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
1158,BEVERAGES  , ORAL CARE,0.011,2.2,0.1
1159,OIL  , RICE/BEANS/PASTA,0.022,11.733,0.67
1160,VEND ITEMS  , BAKERY,0.022,11,1
1161,FRUIT & VEGETABLES  , PERSONAL WASH,0.011,4.888,0.11
1162,BEVERAGES  , BEER,0.011,4.4,0.1
1163,BARS  , BBS,0.022,3.666,0.67
1164,DESSERTS  , MEATS,0.011,17.6,1
1165,DRINK MIXES  , JUICES,0.011,11,0.25
1166,MEAT - PROTEIN  , BBS,0.022,2.75,0.5
1167,FRUITS & VEGETABLES  , MEATS,0.011,4.4,0.2
1168,FRUIT SNACKS  , BARS,0.034,29.333,1
1169,VEND ITEMS  , FRUITS & VEGETABLES,0.022,17.6,1
1170,SOUPS  , BAKERY,0.011,11,1
1171,SALTY SNACKS  , MEAT,0.011,4.888,0.17
1172,BBS  , HAIR CARE,0.034,4.125,0.19
1173,FRUIT & VEGETABLES  , CANNED FISH AND MEAT,0.022,6.518,0.22
1174,HANGING APPAREL  , PAPER PRODUCTS,0.022,11,1
1175,MEATS  , MEATS,0.045,22,1
1176,PASTA & SAUCES  , PREPARED,0.011,11,0.5
1177,PRODUCE  , FRUIT SNACKS,0.034,3.142,0.11
1178,ALL HANGING APPAREL  , BEVERAGES,0.011,1.76,0.2
1179,ALL HANGING APPAREL  , DISH DETERGENTS & SUPPLIES,0.011,4.4,0.2
1180,VEND ITEMS  , SALTY SNACKS,0.011,7.333,0.5
1181,ALL HANGING APPAREL  , COFFEE/SWEETENERS,0.011,17.6,0.2
1182,BAKERY  , PREPARED FOODS,0.011,5.5,0.13
1183,CHEESE  , FINE WINE,0.011,4.19,0.14
1184,MEAT  , CEREAL,0.022,5.866,0.67
1185,PAPER PRODUCTS  , CEREAL,0.034,3.3,0.38
1186,LIQUOR  , BEVERAGES,0.011,8.8,1
1187,ETHNIC  , FLOOR WINES,0.011,14.666,0.5
1188,PET SUPPLIES  , FOAM/PLASTIC/CATERING,0.011,3.142,0.14
1189,CHEMICALS  , PAPER PRODUCTS,0.022,5.5,0.5
1190,BEVERAGES  , BBS,0.079,2.264,0.41
1191,BEVERAGES  , MEATS,0.034,3.105,0.18
1192,OIL  , ANTACID/LAXATIVE/DIETARY AID,0.022,14.666,0.67
1193,OIL  , MEAT - PROTEIN,0.011,7.333,0.33
1194,BEVERAGES  , VITAMIN/SUPPLEMENTS,0.022,2.588,0.12
1195,SPICES  , SAUCES,0.011,22,0.5
1196,FRUIT & VEGETABLES  , HANGING APPAREL,0.011,4.888,0.11
1197,PREPARED  , VEND ITEMS,0.011,11,0.25
1198,PHOTO  , PHOTO,0.011,88,1
1199,DIAPERS  , PAPER PRODUCTS,0.011,5.5,0.5
1200,FOAM/PLASTIC/CATERING  , ANTI-PERS/DEODORANT,0.011,22,0.25
1201,LIQUOR  , PAPER PRODUCTS,0.011,11,1
1202,FIRST AID  , FOAM/PLASTIC/CATERING,0.011,22,1
1203,HAIR CARE  , PAPER PRODUCTS,0.011,2.75,0.25
1204,SALTY SNACKS  , BAGS,0.011,7.333,0.17
1205,VITAMIN/SUPPLEMENTS  , FINE WINE,0.011,7.333,0.25
1206,DRINK MIXES  , SALES,0.011,2.444,0.25
1207,WATER FILTRATION  , DIAPERS,0.011,44,1
1208,BAKING NUTS  , MEATS,0.011,2.933,0.17
1209,FOAM/PLASTIC/CATERING  , BEER,0.011,11,0.25
1210,PASTA & SAUCES  , SPREADS/SYRUP/HONEY,0.011,11,0.5
1211,SPREADS/SYRUP/HONEY  , BBS,0.034,4.125,0.75
1212,LIQUOR  , DESSERTS,0.011,88,1
1213,SOUPS  , VITAMIN/SUPPLEMENTS,0.011,22,1
1214,MEAT - PROTEIN  , MEATS,0.011,4.4,0.25
1215,VITAMIN/SUPPLEMENTS  , ORAL CARE,0.022,11,0.5
1216,TOPICAL APPLICATIONS  , FRUIT & VEGETABLES,0.011,9.777,1
1217,JUICES  , CHEESE,0.011,6.285,0.5
1218,ETHNIC  , BAKING NUTS,0.011,14.666,1
1219,DAIRY PRODUCTS  , HANGING APPAREL,0.011,1.692,0.04
1220,WATER FILTRATION  , WATER FILTRATION,0.011,88,1
1221,PREPARED  , FOAM/PLASTIC/CATERING,0.011,5.5,0.25
1222,PASTA & SAUCES  , CHEESE,0.022,12.571,1
1223,PRODUCE  , BEVERAGES,0.09,2.514,0.29
1224,BAKING NUTS  , MEATS,0.011,3.666,0.17
1225,BAKERY  , MEATS,0.011,2.2,0.13
1226,SALTY SNACKS  , VITAMIN/SUPPLEMENTS,0.011,3.666,0.17
